File: profile-search-index
Build ID: fd5262f3941cbda6adf3447b0957105e8c91f22c
Type: inuse_space
Time: 2026-08-25 18:06:35 EDT
Showing nodes accounting for 213875240B, 94.84% of 225509538B total
Dropped 68 nodes (cum <= 1127547B)
Showing top 40 nodes out of 79
      flat  flat%   sum%        cum   cum%
196664808B 87.21% 87.21% 196664808B 87.21%  regexp.(*Regexp).ReplaceAllStringFunc
  4230507B  1.88% 89.09%   4230507B  1.88%  github.com/blevesearch/vellum.newRegistry (inline)
  2621760B  1.16% 90.25%   2621760B  1.16%  internal/bytealg.MakeNoZero
  2365040B  1.05% 91.30%   3413696B  1.51%  github.com/blevesearch/zapx/v17.(*invertedIndexOpaque).realloc
  1572984B   0.7% 91.99%   1572984B   0.7%  github.com/blevesearch/vellum.(*builderNodeUnfinished).lastCompiled (inline)
  1572936B   0.7% 92.69%   1572936B   0.7%  github.com/blevesearch/vellum.(*builderNodePool).Get (inline)
  1495648B  0.66% 93.35%   1495648B  0.66%  bytes.growSlice
  1212696B  0.54% 93.89%   1212696B  0.54%  bufio.NewWriterSize (inline)
  1090069B  0.48% 94.38%   2663125B  1.18%  github.com/go-go-golems/publish-vault/pkg/vault.indexAssetInto
  1048792B  0.47% 94.84% 100159783B 44.41%  github.com/go-go-golems/publish-vault/pkg/vault.(*Vault).loadNote
         0     0% 94.84%   1495648B  0.66%  bytes.(*Buffer).Write
         0     0% 94.84%   1495648B  0.66%  bytes.(*Buffer).grow
         0     0% 94.84%   9217107B  4.09%  github.com/blevesearch/bleve/v2.(*indexImpl).Index
         0     0% 94.84%   3413696B  1.51%  github.com/blevesearch/bleve/v2/document.(*Document).VisitComposite
         0     0% 94.84%   9217107B  4.09%  github.com/blevesearch/bleve/v2/index/scorch.(*Scorch).Batch
         0     0% 94.84%   9217107B  4.09%  github.com/blevesearch/bleve/v2/index/scorch.(*Scorch).Update
         0     0% 94.84%   6924586B  3.07%  github.com/blevesearch/bleve/v2/index/scorch.(*Scorch).mergerLoop
         0     0% 94.84%   6924586B  3.07%  github.com/blevesearch/bleve/v2/index/scorch.(*Scorch).planMergeAtSnapshot
         0     0% 94.84%   3975331B  1.76%  github.com/blevesearch/vellum.(*Builder).Insert
         0     0% 94.84%   2402395B  1.07%  github.com/blevesearch/vellum.(*Builder).compileFrom
         0     0% 94.84%   1572936B   0.7%  github.com/blevesearch/vellum.(*unfinishedNodes).addSuffix
         0     0% 94.84%   1572984B   0.7%  github.com/blevesearch/vellum.(*unfinishedNodes).popFreeze
         0     0% 94.84%   4230507B  1.88%  github.com/blevesearch/vellum.New (inline)
         0     0% 94.84%   4230507B  1.88%  github.com/blevesearch/vellum.newBuilder
         0     0% 94.84%   6924586B  3.07%  github.com/blevesearch/zapx/v17.(*ZapPlugin).MergeUsing
         0     0% 94.84%   9217107B  4.09%  github.com/blevesearch/zapx/v17.(*ZapPlugin).NewUsing
         0     0% 94.84%   6924586B  3.07%  github.com/blevesearch/zapx/v17.(*ZapPlugin).merge
         0     0% 94.84%   9217107B  4.09%  github.com/blevesearch/zapx/v17.(*ZapPlugin).newWithChunkMode
         0     0% 94.84%   9217107B  4.09%  github.com/blevesearch/zapx/v17.(*interim).convert
         0     0% 94.84%   4462288B  1.98%  github.com/blevesearch/zapx/v17.(*interim).processDocument
         0     0% 94.84%   3413696B  1.51%  github.com/blevesearch/zapx/v17.(*interim).processDocument.func1
         0     0% 94.84%   3413696B  1.51%  github.com/blevesearch/zapx/v17.(*interim).processDocument.func2
         0     0% 94.84%   4462288B  1.98%  github.com/blevesearch/zapx/v17.(*interim).processDocuments (inline)
         0     0% 94.84%   4462288B  1.98%  github.com/blevesearch/zapx/v17.(*invertedIndexOpaque).process
         0     0% 94.84%   3344650B  1.48%  github.com/blevesearch/zapx/v17.(*invertedIndexOpaque).writeDicts
         0     0% 94.84%   5711890B  2.53%  github.com/blevesearch/zapx/v17.(*invertedTextIndexSection).Merge
         0     0% 94.84%   3344650B  1.48%  github.com/blevesearch/zapx/v17.(*invertedTextIndexSection).Persist
         0     0% 94.84%   4462288B  1.98%  github.com/blevesearch/zapx/v17.(*invertedTextIndexSection).Process
         0     0% 94.84%   1410169B  0.63%  github.com/blevesearch/zapx/v17.(*synonymIndexOpaque).writeThesauri
         0     0% 94.84%   1410169B  0.63%  github.com/blevesearch/zapx/v17.(*synonymIndexSection).Persist
